도,시,군/구,행정코드,2018년_총인구수,2019년_총인구수,2020년_총인구수,2021년_총인구수,2022년_총인구수
강원도,,고성군,4282000000,28144,27260,26757,27249,27274
강원도,,양양군,4283000000,27347,27726,27946,27913,27866
충청북도,청주시,상당구,4311100000,176818,178352,190034,193827,196425
충청북도,청주시,서원구,4311200000,209404,203209,194720,192899,191273
충청북도,청주시,흥덕구,4311300000,254302,262137,265866,267429,268051
충청북도,청주시,청원구,4311400000,197225,195868,194373,194327,193824
충청북도,충주시,,4313000000,210504,210737,210186,209358,208277
충청북도,제천시,,4315000000,135386,134617,133018,131591,130988
충청북도,,보은군,4372000000,33680,32949,32412,31878,31455
충청북도,,옥천군,4373000000,51465,51023,50527,50093,49520
충청북도,,영동군,4374000000,49715,48738,47475,45773,44956
충청북도,,증평군,4374500000,37317,37392,36807,36426,37262
충청북도,,진천군,4375000000,78218,81084,83718,85176,86147
충청북도,,괴산군,4376000000,39133,39163,39393,38122,37055
충청북도,,음성군,4377000000,95830,94982,93153,92197,92058
충청북도,,단양군,4380000000,30255,29756,29155,28331,27767
충청남도,천안시,동남구,4413100000,257978,259411,258009,255292,255647
충청남도,천안시,서북구,4413300000,388097,392847,400799,403194,401912
충청남도,공주시,,4415000000,107581,106474,104545,103145,102571
충청남도,보령시,,4418000000,101990,101114,100229,98408,97157
충청남도,아산시,,4420000000,312822,314395,316129,324580,334539
충청남도,서산시,,4421000000,174162,174690,175591,176645,176413
충청남도,논산시,,4423000000,120230,118842,116675,114483,112617
충청남도,계룡시,,4425000000,43731,42971,42822,43331,44475
충청남도,당진시,,4427000000,167770,167042,166249,167092,168253
충청남도,,금산군,4471000000,53222,52257,51413,50477,50092
충청남도,,부여군,4476000000,68078,66740,65354,63774,62343
충청남도,,서천군,4477000000,53922,52805,51866,50745,49964
충청남도,,청양군,4479000000,32296,31717,30948,30440,30266
충청남도,,홍성군,4480000000,101082,100423,100102,99324,98068
충청남도,,예산군,4481000000,80083,79238,78084,76801,77385
충청남도,,태안군,4482500000,63238,62743,62214,61526,61335
전라북도,전주시,완산구,4511100000,345065,338839,339718,335804,332573
전라북도,전주시,덕진구,4511300000,306026,315555,317714,321465,318922
전라북도,군산시,,4513000000,272645,270131,267859,265304,262467
전라북도,익산시,,4514000000,294062,287771,282276,278113,273697
전라북도,정읍시,,4518000000,112169,110541,108508,106487,105081
전라북도,남원시,,4519000000,82554,81441,80662,79431,77948
전라북도,김제시,,4521000000,85331,83895,82450,80913,81455
전라북도,,완주군,4571000000,94444,92220,91609,91142,92422
전라북도,,진안군,4572000000,25963,25697,25394,24987,24550
전라북도,,무주군,4573000000,24589,24303,24036,23748,23489
전라북도,,장수군,4574000000,23221,22441,22085,21695,21336
전라북도,,임실군,4575000000,30072,28902,27314,26730,26508
전라북도,,순창군,4577000000,29209,28382,27810,26855,26727
전라북도,,고창군,4579000000,57041,55504,54529,53386,52338
전라북도,,부안군,4580000000,54441,53295,52140,50795,50094
전라남도,목포시,,4611000000,232327,229861,224044,218589,216939
전라남도,여수시,,4613000000,283300,282786,280242,276762,274765
전라남도,순천시,,4615000000,279389,279598,282189,281436,278737
전라남도,나주시,,4617000000,113839,114664,115613,116726,116456
전라남도,광양시,,4623000000,156564,156750,151769,150531,152168
전라남도,,담양군,4671000000,46917,46535,46280,46180,45792
전라남도,,곡성군,4672000000,29624,28887,28039,27535,27060
전라남도,,구례군,4673000000,27117,26563,25719,25235,24655
전라남도,,고흥군,4677000000,65777,64913,63922,62762,61880
전라남도,,보성군,4678000000,42803,41420,40482,39375,38471
전라남도,,화순군,4679000000,63933,62737,62522,62624,62024
전라남도,,장흥군,4680000000,39312,38563,37800,36547,35650
전라남도,,강진군,4681000000,36144,35286,34597,33753,33177
전라남도,,해남군,4682000000,71901,70354,68806,67166,65831
전라남도,,영암군,4683000000,54731,54593,53699,52937,52395
전라남도,,무안군,4684000000,81991,81105,86132,91107,90608
전라남도,,함평군,4686000000,33420,32861,32050,31274,30784
전라남도,,영광군,4687000000,54127,53852,53099,51985,52197
전라남도,,장성군,4688000000,45795,45739,44464,43365,43146
전라남도,,완도군,4689000000,51477,50689,49916,48631,47597
전라남도,,진도군,4690000000,31219,30715,31227,30066,29507
전라남도,,신안군,4691000000,41263,40274,38938,38217,37858
경상북도,포항시,남구,4711100000,239400,235633,230422,230801,227486
경상북도,포항시,북구,4711300000,270613,271392,272494,273051,269164
경상북도,경주시,,4713000000,256864,255402,253502,251889,249607
경상북도,김천시,,4715000000,141104,141229,140548,140239,139324
경상북도,안동시,,4717000000,162180,160052,158907,156972,154610
경상북도,구미시,,4719000000,421494,419742,416328,412581,408110
경상북도,영주시,,4721000000,106801,105067,103119,101942,100749
경상북도,영천시,,4723000000,101595,102470,102015,101888,101088
경상북도,상주시,,4725000000,100297,100688,97228,95566,94823
경상북도,문경시,,4728000000,71874,72242,71406,71154,70373
경상북도,경산시,,4729000000,261093,263185,263728,268369,267725
경상북도,,군위군,4772000000,23919,23843,23256,22945,23340
경상북도,,의성군,4773000000,52944,52595,51724,50632,50186
경상북도,,청송군,4775000000,25678,25416,25044,24539,24295
경상북도,,영양군,4776000000,17356,16993,16692,16320,16022
경상북도,,영덕군,4777000000,38108,37361,36313,35314,34650
경상북도,,청도군,4782000000,43057,42910,42263,41891,41614
경상북도,,고령군,4783000000,32969,32373,31361,30626,30353
경상북도,,성주군,4784000000,44672,44015,43414,42842,42566
경상북도,,칠곡군,4785000000,118828,117047,114758,113822,112487
경상북도,,예천군,4790000000,53274,55100,55613,55739,55755
경상북도,,봉화군,4792000000,32843,32150,31494,30762,30139
경상북도,,울진군,4793000000,50036,49314,48716,47858,47030
경상북도,,울릉군,4794000000,9832,9617,9077,8867,8996
경상남도,창원시,의창구,4812100000,252896,258582,262408,218027,215823
경상남도,창원시,성산구,4812300000,227337,220945,214570,251562,248512
경상남도,창원시,마산합포구,4812500000,180535,177784,175716,181322,179496
경상남도,창원시,마산회원구,4812700000,199457,193807,191289,186881,183662
경상남도,창원시,진해구,4812900000,193376,193622,192755,194949,193994
경상남도,진주시,,4817000000,345987,347334,348096,347097,343782
경상남도,통영시,,4822000000,133720,131404,128293,125383,122681
경상남도,사천시,,4824000000,113888,111925,111105,109953,109369
경상남도,김해시,,4825000000,533672,542455,542338,537673,535129
경상남도,밀양시,,4827000000,106744,105552,104831,103525,102945
경상남도,거제시,,4831000000,250516,248276,245754,241216,236662
경상남도,양산시,,4833000000,348639,350759,352229,354726,353792
경상남도,,의령군,4872000000,27667,27168,26800,26322,26061
경상남도,,함안군,4873000000,67025,65700,64182,62547,61456
경상남도,,창녕군,4874000000,63396,62331,61301,60129,58372
경상남도,,고성군,4882000000,53243,52276,51361,50478,50448
경상남도,,남해군,4884000000,43990,43622,42958,42266,41579
경상남도,,하동군,4885000000,47533,46574,44785,43449,42465
경상남도,,산청군,4886000000,35952,35417,34857,34360,34028
경상남도,,함양군,4887000000,40044,39637,39080,38310,37708
경상남도,,거창군,4888000000,62455,62179,61502,61073,60387
경상남도,,합천군,4889000000,45916,45204,44006,42935,42142
제주특별자치도,제주시,,5011000000,485946,489405,492466,493096,493389
제주특별자치도,서귀포시,,5013000000,181245,181584,182169,183663,184770
,,,,51826059,51849861,51829023,51638809,51439038
