시도,시군구,행정번호,년도,총인구수,고용률
광주광역시,광주북구,2917000000,2019,433533,59.3
광주광역시,광주광산구,2920000000,2019,405315,59.3
대전광역시,대전동구,3011000000,2019,226771,59.8
대전광역시,대전중구,3014000000,2019,240473,59.8
대전광역시,대전서구,3017000000,2019,481222,59.8
대전광역시,대전유성구,3020000000,2019,349373,59.8
대전광역시,대전대덕구,3023000000,2019,177031,59.8
울산광역시,울산중구,3111000000,2019,223581,59.1
울산광역시,울산남구,3114000000,2019,323819,59.1
울산광역시,울산동구,3117000000,2019,159656,59.1
울산광역시,울산북구,3120000000,2019,217796,59.1
울산광역시,울산울주군,3171000000,2019,223167,59.1
세종특별자치시,세종시,3611000000,2019,340575,62.5
경기도,경기수원장안구,4111100000,2019,278377,60.3
경기도,경기수원권선구,4111300000,2019,371754,60.3
경기도,경기수원팔달구,4111500000,2019,175866,60.3
경기도,경기수원영통구,4111700000,2019,368468,60.3
경기도,경기성남수정구,4113100000,2019,234678,58.85
경기도,경기성남중원구,4113300000,2019,220041,58.85
경기도,경기성남분당구,4113500000,2019,488005,58.85
경기도,경기의정부시,4115000000,2019,451868,56.6
경기도,경기안양만안구,4117100000,2019,244235,58.75
경기도,경기안양동안구,4117300000,2019,322809,58.75
경기도,경기부천시,4119000000,2019,829996,60.2
경기도,경기광명시,4121000000,2019,316552,58.6
경기도,경기평택시,4122000000,2019,513027,61.8
경기도,경기동두천시,4125000000,2019,94768,53.75
경기도,경기안산상록구,4127100000,2019,344613,60.45
경기도,경기안산단원구,4127300000,2019,306305,60.45
경기도,경기고양덕양구,4128100000,2019,466157,57.3
경기도,경기고양일산동구,4128500000,2019,297671,57.3
경기도,경기고양일산서구,4128700000,2019,302523,57.3
경기도,경기과천시,4129000000,2019,58289,53.1
경기도,경기구리시,4131000000,2019,199265,58.35
경기도,경기남양주시,4136000000,2019,701830,55.1
경기도,경기오산시,4137000000,2019,226379,62.3
경기도,경기시흥시,4139000000,2019,473682,63.65
경기도,경기군포시,4141000000,2019,275852,59.35
경기도,경기의왕시,4143000000,2019,161153,57.65
경기도,경기하남시,4145000000,2019,272455,60.95
경기도,경기용인처인구,4146100000,2019,253896,56.7
경기도,경기용인기흥구,4146300000,2019,436679,56.7
