시도명,시군구,2020년,,,,,,,,,,,,,2021년,,,,,,,,,,,,,2022년,,,,,,,,,,,,,2023년,,,,,,,,
,,전체,1월('20.1.20.~),2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,전체,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,전체,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,전체,1월,2월,3월,4월,5월,6월,7월,8월 (~'23.8.31.)
서울,영등포구, 839 , - , 1 , 16 , 6 , 13 , 36 , 11 , 108 , 83 , 31 , 109 , 425 ," 10,753 ", 218 , 175 , 130 , 214 , 269 , 312 , 740 , 852 ," 1,002 "," 1,099 "," 2,233 "," 3,509 "," 249,860 "," 2,270 "," 20,307 "," 91,694 "," 34,480 "," 5,988 "," 2,245 "," 14,069 "," 27,131 "," 12,375 "," 7,118 "," 14,043 "," 18,140 "," 54,204 "," 9,697 "," 2,832 "," 2,863 "," 4,334 "," 6,514 "," 5,559 "," 9,213 "," 13,192 "
서울,용산구, 453 , - , - , 13 , 7 , 23 , 13 , 9 , 51 , 21 , 22 , 90 , 204 ," 5,007 ", 130 , 323 , 134 , 124 , 172 , 233 , 523 , 430 , 445 , 432 , 621 ," 1,440 "," 111,690 "," 1,347 "," 9,527 "," 38,877 "," 14,711 "," 3,132 "," 1,301 "," 7,767 "," 12,507 "," 5,242 "," 3,206 "," 6,477 "," 7,596 "," 22,718 "," 3,942 "," 1,179 "," 1,505 "," 1,893 "," 2,774 "," 2,393 "," 3,863 "," 5,169 "
서울,은평구, 781 , - , 12 , 13 , 6 , 7 , 17 , 8 , 118 , 65 , 16 , 85 , 434 ," 9,025 ", 209 , 168 , 223 , 338 , 219 , 212 , 569 , 722 , 911 , 713 ," 1,566 "," 3,175 "," 251,343 "," 1,802 "," 22,423 "," 91,825 "," 34,034 "," 6,235 "," 1,993 "," 14,252 "," 27,381 "," 12,951 "," 7,900 "," 14,038 "," 16,509 "," 52,636 "," 9,698 "," 2,830 "," 2,850 "," 4,184 "," 6,309 "," 5,434 "," 9,056 "," 12,275 "
서울,종로구, 574 , 3 , 9 , 3 , 5 , 4 , 6 , 8 , 54 , 45 , 12 , 75 , 350 ," 5,476 ", 165 , 69 , 94 , 104 , 107 , 142 , 320 , 302 , 476 , 679 , 978 ," 2,040 "," 112,225 "," 1,076 "," 9,730 "," 40,767 "," 14,236 "," 2,998 "," 1,216 "," 7,490 "," 11,582 "," 5,152 "," 3,303 "," 6,822 "," 7,853 "," 25,515 "," 4,090 "," 1,383 "," 1,565 "," 2,214 "," 2,918 "," 2,808 "," 4,748 "," 5,789 "
서울,중구, 546 , 1 , 7 , 4 , 7 , 6 , 8 , 11 , 75 , 18 , 16 , 78 , 315 ," 7,401 ", 160 , 223 , 158 , 132 , 192 , 214 , 441 , 511 , 935 , 750 ," 1,252 "," 2,433 "," 128,865 "," 1,643 "," 11,665 "," 49,890 "," 15,629 "," 3,041 "," 1,273 "," 7,474 "," 12,709 "," 5,504 "," 3,709 "," 7,150 "," 9,178 "," 31,680 "," 4,909 "," 1,478 "," 1,791 "," 2,984 "," 3,803 "," 3,360 "," 5,978 "," 7,377 "
서울,중랑구, 800 , 1 , 1 , 12 , 4 , 3 , 11 , 10 , 143 , 44 , 23 , 79 , 469 ," 7,794 ", 207 , 161 , 180 , 338 , 281 , 178 , 413 , 532 , 673 , 620 ," 1,220 "," 2,991 "," 193,256 "," 1,824 "," 18,404 "," 74,710 "," 24,823 "," 4,253 "," 1,329 "," 9,124 "," 20,514 "," 9,746 "," 5,433 "," 10,825 "," 12,271 "," 37,299 "," 7,017 "," 2,123 "," 2,174 "," 3,090 "," 4,111 "," 3,541 "," 6,176 "," 9,067 "
부산,합계," 1,867 ", - , 75 , 44 , 18 , 10 , 7 , 17 , 130 , 120 , 171 , 217 ," 1,058 "," 23,207 ", 889 , 466 , 583 ," 1,244 ", 619 , 553 ," 1,985 "," 3,180 "," 1,335 "," 1,190 "," 2,343 "," 8,820 "," 1,691,534 "," 9,357 "," 158,075 "," 697,919 "," 160,875 "," 40,830 "," 14,133 "," 81,794 "," 210,566 "," 73,921 "," 37,254 "," 80,888 "," 125,922 "," 375,984 "," 77,115 "," 23,775 "," 13,007 "," 10,690 "," 27,172 "," 43,735 "," 92,765 "," 87,725 "
부산,강서구, 39 , - , 2 , - , - , 1 , 1 , - , 1 , - , 1 , 12 , 21 , 943 , 37 , 24 , 16 , 50 , 36 , 15 , 71 , 100 , 83 , 68 , 73 , 370 ," 76,022 ", 330 ," 7,023 "," 28,908 "," 8,352 "," 2,225 ", 715 ," 4,527 "," 9,859 "," 3,555 "," 1,467 "," 3,236 "," 5,825 "," 15,311 "," 3,278 "," 1,113 ", 568 , 457 ," 1,062 "," 1,569 "," 3,935 "," 3,329 "
부산,금정구, 69 , - , 3 , 1 , 1 , 1 , - , - , 2 , 6 , 4 , 9 , 42 ," 1,494 ", 142 , 23 , 13 , 76 , 29 , 63 , 90 , 183 , 72 , 70 , 87 , 646 ," 111,755 ", 645 ," 9,308 "," 45,095 "," 10,938 "," 2,815 "," 1,013 "," 5,528 "," 14,131 "," 5,022 "," 2,780 "," 6,466 "," 8,014 "," 25,869 "," 5,162 "," 1,509 ", 809 , 650 ," 2,119 "," 3,013 "," 6,355 "," 6,252 "
부산,기장군, 36 , - , - , 1 , 1 , - , 1 , - , 3 , 5 , - , 6 , 19 , 957 , 14 , 37 , 18 , 40 , 37 , 14 , 48 , 214 , 106 , 32 , 58 , 339 ," 95,000 ", 453 ," 8,483 "," 35,964 "," 9,477 "," 2,775 "," 1,031 "," 6,128 "," 12,622 "," 4,309 "," 2,156 "," 4,265 "," 7,337 "," 19,934 "," 4,449 "," 1,543 ", 775 , 476 ," 1,322 "," 2,065 "," 4,507 "," 4,797 "
