"No","회계연도","지역명","자치단체코드","자치단체명","시설유형","시설구분","시설명","건립일","운영방식","건물면적","토지면적","관리인력","연간이용인원","건립비용","취득가액","감가상각액","감가상각누계액","장부가액","내용연수","비용","수익","순수익"
"63","2019","서울","1128000","서울금천구","체육시설","기타체육시설","금천구민문화체육센터","2001.03.02","위탁","9115","5529","0","92833","21611160800","21611160800","482087432","7736660716","13874500084","40","2643933184","2757716352","113783168"
"64","2019","서울","1128000","서울금천구","문화시설","문화예술회관","금나래아트홀","2008.11.01","위탁","6261.92","6261.92","17","94379","18210000000","18210000000","455250000","4097250000","14112750000","40","1625289000","61502480","-1563786520"
"65","2019","서울","1129000","서울영등포구","체육시설","체육관","영등포제2스포츠센터","2014.08.01","위탁","6674.19","1506.9","18","72419","22104710300","22104710300","552617757","3039397663","19065312637","40","2852422000","3188324990","335902990"
"66","2019","서울","1129000","서울영등포구","기타시설","기타시설","영등포구민회관","1992.12.29","위탁","3290","7075","15","32940","25524215462","25524215462","924288410","13277394027","12246821435","40","1014068000","2572352096","1558284096"
"67","2019","서울","1129000","서울영등포구","체육시설","체육관","영등포제1스포츠센터","2004.09.01","위탁","9169","19782","20","56715","20424000000","20297573270","569561170","6295861169","14001712101","40","2348158745","1403155180","-945003565"
"68","2019","서울","1130000","서울동작구","체육시설","기타체육시설","동작구민체육센터","2002.05.10","위탁","8650","4709","24","99064","22132000000","13242690358","137238773","2141651093","11101039265","40","3816460875","4820853340","1004392465"
"69","2019","서울","1130000","서울동작구","기타시설","기타시설","동작문화복지센터","1999.05.28","직영","10022","2897","14","272800","17458000000","17458000000","357183648","6376406024","11081593976","40","990536950","68535550","-922001400"
"70","2019","서울","1130000","서울동작구","체육시설","기타체육시설","사당종합체육관","2017.03.27","위탁","7102","3202","13","31858","22376000000","20715278839","517881971","1078920771","19636358068","40","1613767285","1513437198","-100330087"
"71","2019","서울","1131000","서울관악구","체육시설","체육관","관악구민종합체육센터","2000.09.08","위탁","1924","10357","39","101834","13805000000","11183917716","199163810","2741944724","8441972992","40","3076113966","2655379270","-420734696"
"72","2019","서울","1131000","서울관악구","문화시설","문화예술회관","관악문화관","2002.08.28","위탁","14279.89","7349","68","663685","31581650775","31581650775","653719798","9743174588","21838476187","40","4984583812","128270915","-4856312897"
"73","2019","서울","1132000","서울서초구","기타시설","기타시설","심산기념문화센터","2010.01.22","위탁","8415","26092","10","183064","17200000000","17200000000","286360669","2684746021","14532803979","60","2908864232","785749210","-2123115022"
"74","2019","서울","1132000","서울서초구","체육시설","체육관","서초종합체육관","2018.10.01","위탁","3167","20923","0","16885","25800000000","23201636210","241683710","241683710","22959952500","40","1642000000","1761000000","119000000"
