시도,시군구,행정번호,,
전라남도,전남함평군,4686000000,,전라남도 함평군 (4686000000)
전라남도,전남영광군,4687000000,,전라남도 영광군 (4687000000)
전라남도,전남장성군,4688000000,,전라남도 장성군 (4688000000)
전라남도,전남완도군,4689000000,,전라남도 완도군 (4689000000)
전라남도,전남진도군,4690000000,,전라남도 진도군 (4690000000)
전라남도,전남신안군,4691000000,,전라남도 신안군 (4691000000)
경상북도,경북포항남구,4711100000,,경상북도 포항시 남구 (4711100000)
경상북도,경북포항북구,4711300000,,경상북도 포항시 북구 (4711300000)
경상북도,경북경주시,4713000000,,경상북도 경주시 (4713000000)
경상북도,경북김천시,4715000000,,경상북도 김천시 (4715000000)
경상북도,경북안동시,4717000000,,경상북도 안동시 (4717000000)
경상북도,경북구미시,4719000000,,경상북도 구미시 (4719000000)
경상북도,경북영주시,4721000000,,경상북도 영주시 (4721000000)
경상북도,경북영천시,4723000000,,경상북도 영천시 (4723000000)
경상북도,경북상주시,4725000000,,경상북도 상주시 (4725000000)
경상북도,경북문경시,4728000000,,경상북도 문경시 (4728000000)
경상북도,경북경산시,4729000000,,경상북도 경산시 (4729000000)
경상북도,경북군위군,4772000000,,경상북도 군위군 (4772000000)
경상북도,경북의성군,4773000000,,경상북도 의성군 (4773000000)
경상북도,경북청송군,4775000000,,경상북도 청송군 (4775000000)
경상북도,경북영양군,4776000000,,경상북도 영양군 (4776000000)
경상북도,경북영덕군,4777000000,,경상북도 영덕군 (4777000000)
경상북도,경북청도군,4782000000,,경상북도 청도군 (4782000000)
경상북도,경북고령군,4783000000,,경상북도 고령군 (4783000000)
경상북도,경북성주군,4784000000,,경상북도 성주군 (4784000000)
경상북도,경북칠곡군,4785000000,,경상북도 칠곡군 (4785000000)
경상북도,경북예천군,4790000000,,경상북도 예천군 (4790000000)
경상북도,경북봉화군,4792000000,,경상북도 봉화군 (4792000000)
경상북도,경북울진군,4793000000,,경상북도 울진군 (4793000000)
경상북도,경북울릉군,4794000000,,경상북도 울릉군 (4794000000)
경상남도,경남창원의창구,4812100000,,경상남도 창원시 의창구 (4812100000)
경상남도,경남창원성산구,4812300000,,경상남도 창원시 성산구 (4812300000)
경상남도,경남창원마산합포구,4812500000,,경상남도 창원시 마산합포구 (4812500000)
경상남도,경남창원마산회원구,4812700000,,경상남도 창원시 마산회원구 (4812700000)
경상남도,경남창원진해구,4812900000,,경상남도 창원시 진해구 (4812900000)
경상남도,경남진주시,4817000000,,경상남도 진주시 (4817000000)
경상남도,경남통영시,4822000000,,경상남도 통영시 (4822000000)
경상남도,경남사천시,4824000000,,경상남도 사천시 (4824000000)
경상남도,경남김해시,4825000000,,경상남도 김해시 (4825000000)
경상남도,경남밀양시,4827000000,,경상남도 밀양시 (4827000000)
경상남도,경남거제시,4831000000,,경상남도 거제시 (4831000000)
경상남도,경남양산시,4833000000,,경상남도 양산시 (4833000000)
경상남도,경남의령군,4872000000,,경상남도 의령군 (4872000000)
경상남도,경남함안군,4873000000,,경상남도 함안군 (4873000000)
경상남도,경남창녕군,4874000000,,경상남도 창녕군 (4874000000)
경상남도,경남고성군,4882000000,,경상남도 고성군 (4882000000)
경상남도,경남남해군,4884000000,,경상남도 남해군 (4884000000)
경상남도,경남하동군,4885000000,,경상남도 하동군 (4885000000)
경상남도,경남산청군,4886000000,,경상남도 산청군 (4886000000)
경상남도,경남함양군,4887000000,,경상남도 함양군 (4887000000)
경상남도,경남거창군,4888000000,,경상남도 거창군 (4888000000)
경상남도,경남합천군,4889000000,,경상남도 합천군 (4889000000)
제주특별자치도,제주제주시,5011000000,,제주특별자치도 제주시 (5011000000)
제주특별자치도,제주서귀포시,5013000000,,제주특별자치도 서귀포시 (5013000000)
