행정번호,년도,평균연령,스트레스인지율
4519000000,2020,49.3,19.8
4521000000,2020,51.7,29.4
4571000000,2020,46.7,23.8
4572000000,2020,53.6,22.6
4573000000,2020,52.7,25.8
4574000000,2020,52.7,14.1
4575000000,2020,54.1,30.1
4577000000,2020,52.4,19.4
4579000000,2020,52.8,20.5
4580000000,2020,52.5,25.7
4611000000,2020,42.9,20.9
4613000000,2020,44.7,20.7
4615000000,2020,42.5,21
4617000000,2020,45.6,27.5
4623000000,2020,41.6,21.2
4671000000,2020,51.5,16.3
4672000000,2020,54.4,25
4673000000,2020,53.5,14.8
4677000000,2020,56.3,17.5
4678000000,2020,55.1,22.1
4679000000,2020,49,30.3
4680000000,2020,52.7,26.6
4681000000,2020,53,17.2
4682000000,2020,51.7,25.9
4683000000,2020,48.9,28.7
4684000000,2020,44,20.2
4686000000,2020,54.4,15.6
4687000000,2020,49.3,24.8
4688000000,2020,50.4,23.2
4689000000,2020,51.6,24.1
4690000000,2020,52.1,12.3
4691000000,2020,55.1,6.2
4711100000,2020,44.3,24.8
4711300000,2020,44,24.8
4713000000,2020,47.2,23
4715000000,2020,46.7,24.7
4717000000,2020,47.6,25.4
4719000000,2020,39.1,27.7
4721000000,2020,49.3,24.4
4723000000,2020,50.1,28.7
4725000000,2020,51.6,18.7
4728000000,2020,50.8,28.9
4729000000,2020,43.5,28.1
4772000000,2020,57.6,18.8
4773000000,2020,57.3,15.4
4775000000,2020,55.7,22.4
4776000000,2020,55.3,24.2
4777000000,2020,55,17.5
4782000000,2020,55.7,30
4783000000,2020,52.6,21.1
4784000000,2020,53.3,15.8
4785000000,2020,43.2,24.7
4790000000,2020,49.5,26.9
4792000000,2020,55.1,33.5
4793000000,2020,50,33.5
4794000000,2020,51.1,21.3
4812100000,2020,42,26.2
4812300000,2020,40.1,26.2
4812500000,2020,46.2,26.2
4812700000,2020,44.4,26.2
4812900000,2020,41.2,26.2
4817000000,2020,43,29.9
4822000000,2020,45.4,20.6
4824000000,2020,46.2,30.8
4825000000,2020,40.5,29.5
4827000000,2020,50.5,25.7
4831000000,2020,39.8,21.4
4833000000,2020,41.4,28
4872000000,2020,55.1,18.4
4873000000,2020,48.3,27.2
4874000000,2020,51.9,15.1
4882000000,2020,51.7,16.1
4884000000,2020,55.1,21.7
4885000000,2020,54.1,27.3
4886000000,2020,55.2,18.6
4887000000,2020,53,23.7
4888000000,2020,49.2,24.3
4889000000,2020,56.4,20.3
5011000000,2020,41.4,25.8
5013000000,2020,44.9,25.8
1111000000,2021,45.4,30.3
1114000000,2021,45.8,26.8
1117000000,2021,44.3,26.5
1120000000,2021,43.4,30.5
1121500000,2021,42.9,27.1
1123000000,2021,44.3,23.1
1126000000,2021,45.3,29.9
1129000000,2021,43.7,30.8
1130500000,2021,46.7,29
1132000000,2021,46.1,31.8
1135000000,2021,43.9,24
1138000000,2021,44.7,27.1
1141000000,2021,43.9,28.2
1144000000,2021,42.2,28.7
1147000000,2021,42.8,29.6
1150000000,2021,43.1,30.4
1153000000,2021,44.2,24
1154500000,2021,44.8,31.8
1156000000,2021,43.2,29.3
1159000000,2021,43.5,26.7
1162000000,2021,42.9,23.8
1165000000,2021,41.7,27.7
1168000000,2021,41.9,31.9
1171000000,2021,42.2,29
1174000000,2021,43,23.2
2611000000,2021,50.3,24.5
2614000000,2021,48.7,24.8
2617000000,2021,49.5,27.6
2620000000,2021,50.5,26.5
2623000000,2021,45.7,25.4
2626000000,2021,44.7,24
2629000000,2021,45.6,23.3
2632000000,2021,45.3,23.2
2635000000,2021,44.7,26.4
2638000000,2021,45.9,27
2641000000,2021,46.7,27.5
2644000000,2021,39.1,25.9
2647000000,2021,45.4,26.8
2650000000,2021,46.4,25.5
2653000000,2021,46.4,25.9
2671000000,2021,42.1,28.5
2711000000,2021,45.1,29.1
2714000000,2021,45.6,22.9
2717000000,2021,49.1,25.2
2720000000,2021,48.1,19.8
2723000000,2021,42.9,28.3
2726000000,2021,43.3,25
2729000000,2021,43.4,22.9
2771000000,2021,41,22.1
2811000000,2021,42,26.2
2814000000,2021,47.6,21.8
2817700000,2021,44.4,30.7
2818500000,2021,39.8,29.2
2820000000,2021,42.7,29
2823700000,2021,43.9,31.8
2824500000,2021,43.7,32.6
2826000000,2021,40.6,28.9
2871000000,2021,53.4,19.3
2872000000,2021,50.7,26.6
2911000000,2021,45.5,23.9
2914000000,2021,42.4,31.1
2915500000,2021,43.3,24.1
2917000000,2021,42.7,29
2920000000,2021,38.9,26.8
3011000000,2021,45.1,21.8
3014000000,2021,45.5,26.8
3017000000,2021,41.4,19
3020000000,2021,39.2,28.6
3023000000,2021,44.5,26.4
3111000000,2021,44.1,24.6
3114000000,2021,42.4,26.5
3117000000,2021,42,27
3120000000,2021,39,26.2
3171000000,2021,43.8,19.7
3611000000,2021,37.7,25.5
4111100000,2021,42.3,28.1
4111300000,2021,41.1,28.1
4111500000,2021,43.4,28.1
4111700000,2021,37.8,28.1
4113100000,2021,44.1,26.3
4113300000,2021,44.4,26.3
4113500000,2021,41.2,26.3
4115000000,2021,43.3,29
4117100000,2021,44.4,28.6
4117300000,2021,41.6,28.6
4119000000,2021,43.4,31.1
4121000000,2021,42.5,29.7
4122000000,2021,40.8,28.8
4125000000,2021,46.2,24.4
4127100000,2021,42.1,32
4127300000,2021,41.7,32
4128100000,2021,43.1,27.9
4128500000,2021,42.6,27.9
4128700000,2021,42.3,27.9
4129000000,2021,41.8,26.8
4131000000,2021,42.9,29.3
4136000000,2021,42.1,28.2
4137000000,2021,39.2,28.2
4139000000,2021,40,26.9
4141000000,2021,42.8,31
4143000000,2021,42.7,27
4145000000,2021,40.6,23.7
4146100000,2021,42.8,26.6
4146300000,2021,40.7,26.6
4146500000,2021,40.4,26.6
4148000000,2021,41.5,25.5
4150000000,2021,42.1,30.4
4155000000,2021,44.5,32.5
4157000000,2021,40.2,27
4159000000,2021,37.9,27.2
4161000000,2021,42.4,27.4
4163000000,2021,43,29.3
4165000000,2021,47.3,29
4167000000,2021,47.4,28
4180000000,2021,49.2,32.2
4182000000,2021,50.1,26.2
4183000000,2021,49.4,22.5
4211000000,2021,44.2,28.7
4213000000,2021,43.2,36.2
4215000000,2021,46.8,25.4
4217000000,2021,46.1,24.9
4219000000,2021,49,26.3
