시도,시군구,행정번호,년도,우울증환자수,평균연령,총인구수,스트레스인지율,고용률,코로나확진자수,1인당 정신건강예산(원),공공시설개수,우울증지수
전라남도,전남곡성군,4672000000,2018,53,52.5,29624,30.7,65.6,0,4306,17,0.178908993
전라남도,전남구례군,4673000000,2018,59,51.4,27117,20.3,69.25,0,4306,3,0.217575691
전라남도,전남고흥군,4677000000,2018,1870,54.9,65777,20.6,73.8,0,4306,25,2.842939021
전라남도,전남보성군,4678000000,2018,276,53.3,42803,20.6,66.45,0,4306,18,0.644814616
전라남도,전남화순군,4679000000,2018,685,47.5,63933,23.6,61.75,0,4306,10,1.071434158
전라남도,전남장흥군,4680000000,2018,163,51.3,39312,22.1,67.65,0,4306,12,0.414631665
전라남도,전남강진군,4681000000,2018,377,51.4,36144,30,68.65,0,4306,11,1.043050022
전라남도,전남해남군,4682000000,2018,1491,50.1,71901,15,72.7,0,4306,57,2.07368465
전라남도,전남영암군,4683000000,2018,126,47.4,54731,24.2,63.15,0,4306,10,0.230216879
전라남도,전남무안군,4684000000,2018,731,43.8,81991,26.4,60.75,0,4306,27,0.891561269
전라남도,전남함평군,4686000000,2018,64,52.7,33420,18.8,68.15,0,4306,14,0.191502095
전라남도,전남영광군,4687000000,2018,597,48.5,54127,32.4,68.25,0,4306,5,1.102961553
전라남도,전남장성군,4688000000,2018,276,48.9,45795,19,64.65,0,4306,29,0.602685883
전라남도,전남완도군,4689000000,2018,40,50.2,51477,19.8,69.45,0,4306,11,0.077704606
전라남도,전남진도군,4690000000,2018,49,51.2,31219,21.4,68.8,0,4306,10,0.1569557
전라남도,전남신안군,4691000000,2018,18,53.2,41263,33.6,79.35,0,4306,10,0.043622616
경상북도,경북포항남구,4711100000,2018,2662,42.8,239400,23.7,60.8,0,4121,82,1.111946533
경상북도,경북포항북구,4711300000,2018,4876,42.8,270613,23.7,60.8,0,4121,85,1.801835093
경상북도,경북경주시,4713000000,2018,4554,45.8,256864,28.1,61.6,0,4121,61,1.772922636
경상북도,경북김천시,4715000000,2018,3133,45.6,141104,26.2,58.6,0,4121,35,2.220348112
경상북도,경북안동시,4717000000,2018,2648,46.3,162180,29.2,60.4,0,4121,106,1.63275373
경상북도,경북구미시,4719000000,2018,5616,37.7,421494,25.8,62.95,0,4121,181,1.332403308
경상북도,경북영주시,4721000000,2018,1414,47.7,106801,26.2,57.5,0,4121,69,1.323957641
경상북도,경북영천시,4723000000,2018,1531,49,101595,27.7,66.85,0,4121,25,1.506963925
경상북도,경북상주시,4725000000,2018,821,50.2,100297,14.3,63.5,0,4121,52,0.818568851
경상북도,경북문경시,4728000000,2018,2414,49.7,71874,23.3,58.9,0,4121,31,3.358655425
경상북도,경북경산시,4729000000,2018,3170,42.2,261093,28.5,57.7,0,4121,119,1.214126767
경상북도,경북군위군,4772000000,2018,66,55.8,23919,17.2,72.45,0,4121,7,0.275931268
경상북도,경북의성군,4773000000,2018,183,56,52944,20.5,71.2,0,4121,13,0.345648232
경상북도,경북청송군,4775000000,2018,98,54.1,25678,24.6,73.15,0,4121,2,0.381649661
경상북도,경북영양군,4776000000,2018,0,53.8,17356,18.7,70.4,0,4121,4,0
경상북도,경북영덕군,4777000000,2018,210,53.3,38108,12.8,62,0,4121,24,0.551065393
경상북도,경북청도군,4782000000,2018,374,54.3,43057,16.2,70.3,0,4121,9,0.868616021
경상북도,경북고령군,4783000000,2018,12,50.6,32969,24.9,65.05,0,4121,4,0.036397828
경상북도,경북성주군,4784000000,2018,70,51.6,44672,10,70.55,0,4121,17,0.156697708
경상북도,경북칠곡군,4785000000,2018,500,41.2,118828,23.3,62.75,0,4121,50,0.420776248
경상북도,경북예천군,4790000000,2018,134,49.4,53274,20.1,66.95,0,4121,44,0.251529827
경상북도,경북봉화군,4792000000,2018,128,53.4,32843,21.7,72.1,0,4121,6,0.389732972
경상북도,경북울진군,4793000000,2018,159,48.7,50036,21.7,61.9,0,4121,18,0.317771205
경상북도,경북울릉군,4794000000,2018,0,49.4,9832,18.5,84.1,0,4121,16,0
경상남도,경남창원의창구,4812100000,2018,1669,41,252896,26.3,59.4,0,2758,124,0.65995508
경상남도,경남창원성산구,4812300000,2018,3680,38.6,227337,26.3,59.4,0,2758,93,1.61874222
경상남도,경남창원마산합포구,4812500000,2018,3260,44.8,180535,26.3,59.4,0,2758,72,1.805744039
경상남도,경남창원마산회원구,4812700000,2018,3314,42.7,199457,26.3,59.4,0,2758,63,1.661511002
경상남도,경남창원진해구,4812900000,2018,1312,39.8,193376,26.3,59.4,0,2758,90,0.678470958
경상남도,경남진주시,4817000000,2018,6433,42,345987,25.1,57.05,0,2758,130,1.859318414
경상남도,경남통영시,4822000000,2018,1486,43.6,133720,27.2,54.05,0,2758,42,1.111277296
경상남도,경남사천시,4824000000,2018,720,44.7,113888,15.8,63.75,0,2758,13,0.632200056
경상남도,경남김해시,4825000000,2018,5330,39.2,533672,28.9,60.15,0,2758,230,0.9987408
경상남도,경남밀양시,4827000000,2018,636,49.1,106744,26.8,58.75,0,2758,33,0.595818032
경상남도,경남거제시,4831000000,2018,2135,38.2,250516,20.3,58.85,0,2758,67,0.852240975
경상남도,경남양산시,4833000000,2018,4084,40.1,348639,22.8,57.85,0,2758,148,1.171412263
경상남도,경남의령군,4872000000,2018,73,53.6,27667,26.2,67.95,0,2758,30,0.263852243
경상남도,경남함안군,4873000000,2018,277,46.5,67025,26.1,61.7,0,2758,31,0.413278627
경상남도,경남창녕군,4874000000,2018,509,50.3,63396,17.2,64.65,0,2758,14,0.802889772
경상남도,경남고성군,4882000000,2018,207,50.1,53243,15.7,65.05,0,2758,15,0.388783502
경상남도,경남남해군,4884000000,2018,141,54.2,43990,20.3,67.35,0,2758,2,0.320527393
경상남도,경남하동군,4885000000,2018,281,52,47533,20.1,71.1,0,2758,4,0.591168241
경상남도,경남산청군,4886000000,2018,50,53.3,35952,17.9,70.4,0,2758,13,0.139074321
경상남도,경남함양군,4887000000,2018,219,51.5,40044,18.9,63.95,0,2758,6,0.546898412
경상남도,경남거창군,4888000000,2018,926,48,62455,25.9,63.55,0,2758,16,1.482667521
경상남도,경남합천군,4889000000,2018,193,54.8,45916,28.1,66.6,0,2758,18,0.420332782
제주특별자치도,제주제주시,5011000000,2018,10000,40.4,485946,27.3,66.2,0,5985,197,2.057841818
제주특별자치도,제주서귀포시,5013000000,2018,1987,43.8,181245,27.3,70.85,0,5985,59,1.096306105
서울특별시,서울종로구,1111000000,2019,13895,44.7,151290,27.7,60,0,5309,43,9.184347941
서울특별시,서울중구,1114000000,2019,5044,45,126171,22.8,60,0,5309,47,3.997749087
서울특별시,서울용산구,1117000000,2019,2682,44,228670,16.3,60,0,5309,52,1.1728692
서울특별시,서울성동구,1120000000,2019,4062,42.5,300889,32.6,60,0,5309,50,1.349999501
서울특별시,서울광진구,1121500000,2019,7759,41.9,351350,27.3,60,0,5309,48,2.208339263
서울특별시,서울동대문구,1123000000,2019,8093,43.7,346194,32.5,60,0,5309,50,2.337706604
서울특별시,서울중랑구,1126000000,2019,6625,44.2,397015,26.8,60,0,5309,61,1.668702694
서울특별시,서울성북구,1129000000,2019,6355,42.9,442650,30,60,0,5309,52,1.435671524
서울특별시,서울강북구,1130500000,2019,3386,45.4,313954,27,60,0,5309,57,1.078501946
서울특별시,서울도봉구,1132000000,2019,3084,44.6,333362,29,60,0,5309,72,0.92512044
서울특별시,서울노원구,1135000000,2019,8713,42.6,532905,21.1,60,0,5309,181,1.63500061
서울특별시,서울은평구,1138000000,2019,7136,43.7,480032,28.3,60,0,5309,111,1.486567562
서울특별시,서울서대문구,1141000000,2019,8040,43.4,309397,28.5,60,0,5309,57,2.598603089
서울특별시,서울마포구,1144000000,2019,12929,41.6,374035,30.8,60,0,5309,87,3.45662839
서울특별시,서울양천구,1147000000,2019,5099,41.6,458165,28.5,60,0,5309,97,1.112917835
서울특별시,서울강서구,1150000000,2019,7714,42,591796,29.9,60,0,5309,150,1.303489716
서울특별시,서울구로구,1153000000,2019,9225,43,406664,26,60,0,5309,60,2.268457498
서울특별시,서울금천구,1154500000,2019,4392,43.9,232810,25.4,60,0,5309,54,1.886516902
서울특별시,서울영등포구,1156000000,2019,7037,42.8,367678,28.5,60,0,5309,54,1.913902926
서울특별시,서울동작구,1159000000,2019,9438,42.6,395963,23.1,60,0,5309,56,2.383556039
서울특별시,서울관악구,1162000000,2019,8661,42.2,500094,27.7,60,0,5309,79,1.731874408
서울특별시,서울서초구,1165000000,2019,17279,40.8,430826,28.3,60,0,5309,140,4.01066788
서울특별시,서울강남구,1168000000,2019,22900,40.9,545169,30,60,0,5309,134,4.200532312
서울특별시,서울송파구,1171000000,2019,14372,41.2,675961,23.5,60,0,5309,145,2.126158166
서울특별시,서울강동구,1174000000,2019,13047,42.5,436067,23.1,60,0,5309,76,2.991971417
부산광역시,부산진구,2611000000,2019,11645,49.7,357880,23.7,56.6,0,4495,27,3.253883983
부산광역시,부산수영구,2614000000,2019,8775,47.9,176148,20.3,56.6,0,4495,21,4.981606376
부산광역시,부산동구,2617000000,2019,5125,48.9,88165,23.3,56.6,0,4495,7,5.812964328
