년도,시도,시군구,환자수
2020,강원,양구군,23
2020,강원,양양군,88
2020,강원,영월군,217
2020,강원,원주시,7807
2020,강원,인제군,80
2020,강원,정선군,38
2020,강원,철원군,43
2020,강원,춘천시,6125
2020,강원,태백시,260
2020,강원,평창군,245
2020,강원,홍천군,1522
2020,강원,화천군,11
2020,강원,횡성군,176
2020,경기,가평군,463
2020,경기,고양덕양구,3890
2020,경기,고양일산동구,9212
2020,경기,고양일산서구,7611
2020,경기,과천시,65
2020,경기,광명시,4448
2020,경기,광주시,3851
2020,경기,구리시,4397
2020,경기,군포시,5030
2020,경기,김포시,2808
2020,경기,남양주시,7616
2020,경기,동두천시,2252
2020,경기,부천시,14399
2020,경기,성남분당구,20716
2020,경기,성남수정구,3997
2020,경기,성남중원구,3230
2020,경기,수원권선구,3105
2020,경기,수원영통구,4477
2020,경기,수원장안구,4110
2020,경기,수원팔달구,9263
2020,경기,시흥시,5101
2020,경기,안산단원구,8720
2020,경기,안산상록구,3238
2020,경기,안성시,1305
2020,경기,안양동안구,7299
2020,경기,안양만안구,4371
2020,경기,양주시,1755
2020,경기,양평군,880
2020,경기,여주시,2099
2020,경기,연천군,324
2020,경기,오산시,3411
2020,경기,용인기흥구,6135
2020,경기,용인수지구,4091
2020,경기,용인처인구,2408
2020,경기,의왕시,846
2020,경기,의정부시,10278
2020,경기,이천시,4337
2020,경기,파주시,4530
2020,경기,평택시,6790
2020,경기,포천시,1023
2020,경기,하남시,2884
2020,경기,화성시,8452
2020,경남,거제시,3654
2020,경남,거창군,924
2020,경남,고성군,236
2020,경남,김해시,4788
2020,경남,남해군,202
2020,경남,밀양시,481
2020,경남,사천시,699
2020,경남,산청군,44
2020,경남,양산시,4613
2020,경남,의령군,106
2020,경남,진주시,7248
2020,경남,창녕군,493
2020,경남,창원마산합포구,3372
2020,경남,창원마산회원구,3155
2020,경남,창원성산구,4574
2020,경남,창원의창구,1994
2020,경남,창원진해구,1452
2020,경남,통영시,1571
2020,경남,하동군,236
2020,경남,함안군,239
2020,경남,함양군,304
2020,경남,합천군,184
2020,경북,경산시,3548
2020,경북,경주시,4266
2020,경북,고령군,24
2020,경북,구미시,6571
2020,경북,군위군,65
2020,경북,김천시,3262
2020,경북,문경시,2595
2020,경북,봉화군,76
2020,경북,상주시,873
2020,경북,성주군,80
2020,경북,안동시,2887
2020,경북,영덕군,241
2020,경북,영양군,0
2020,경북,영주시,1350
2020,경북,영천시,1622
2020,경북,예천군,117
2020,경북,울릉군,0
2020,경북,울진군,227
2020,경북,의성군,185
2020,경북,청도군,413
