시도,시군구,행정번호,년도,우울증환자수,코로나확진자수,1인당 정신건강예산(원),공공시설개수
전라남도,전남담양군,4671000000,2018,243,0,4306,126
전라남도,전남곡성군,4672000000,2018,53,0,4306,17
전라남도,전남구례군,4673000000,2018,59,0,4306,3
전라남도,전남고흥군,4677000000,2018,1870,0,4306,25
전라남도,전남보성군,4678000000,2018,276,0,4306,18
전라남도,전남화순군,4679000000,2018,685,0,4306,10
전라남도,전남장흥군,4680000000,2018,163,0,4306,12
전라남도,전남강진군,4681000000,2018,377,0,4306,11
전라남도,전남해남군,4682000000,2018,1491,0,4306,57
전라남도,전남영암군,4683000000,2018,126,0,4306,10
전라남도,전남무안군,4684000000,2018,731,0,4306,27
전라남도,전남함평군,4686000000,2018,64,0,4306,14
전라남도,전남영광군,4687000000,2018,597,0,4306,5
전라남도,전남장성군,4688000000,2018,276,0,4306,29
전라남도,전남완도군,4689000000,2018,40,0,4306,11
전라남도,전남진도군,4690000000,2018,49,0,4306,10
전라남도,전남신안군,4691000000,2018,18,0,4306,10
경상북도,경북포항남구,4711100000,2018,2662,0,4121,82
경상북도,경북포항북구,4711300000,2018,4876,0,4121,85
경상북도,경북경주시,4713000000,2018,4554,0,4121,61
경상북도,경북김천시,4715000000,2018,3133,0,4121,35
경상북도,경북안동시,4717000000,2018,2648,0,4121,106
경상북도,경북구미시,4719000000,2018,5616,0,4121,181
경상북도,경북영주시,4721000000,2018,1414,0,4121,69
경상북도,경북영천시,4723000000,2018,1531,0,4121,25
경상북도,경북상주시,4725000000,2018,821,0,4121,52
경상북도,경북문경시,4728000000,2018,2414,0,4121,31
경상북도,경북경산시,4729000000,2018,3170,0,4121,119
경상북도,경북군위군,4772000000,2018,66,0,4121,7
경상북도,경북의성군,4773000000,2018,183,0,4121,13
경상북도,경북청송군,4775000000,2018,98,0,4121,2
경상북도,경북영양군,4776000000,2018,0,0,4121,4
경상북도,경북영덕군,4777000000,2018,210,0,4121,24
경상북도,경북청도군,4782000000,2018,374,0,4121,9
경상북도,경북고령군,4783000000,2018,12,0,4121,4
경상북도,경북성주군,4784000000,2018,70,0,4121,17
경상북도,경북칠곡군,4785000000,2018,500,0,4121,50
경상북도,경북예천군,4790000000,2018,134,0,4121,44
경상북도,경북봉화군,4792000000,2018,128,0,4121,6
경상북도,경북울진군,4793000000,2018,159,0,4121,18
경상북도,경북울릉군,4794000000,2018,0,0,4121,16
경상남도,경남창원의창구,4812100000,2018,1669,0,2758,124
경상남도,경남창원성산구,4812300000,2018,3680,0,2758,93
경상남도,경남창원마산합포구,4812500000,2018,3260,0,2758,72
경상남도,경남창원마산회원구,4812700000,2018,3314,0,2758,63
경상남도,경남창원진해구,4812900000,2018,1312,0,2758,90
경상남도,경남진주시,4817000000,2018,6433,0,2758,130
경상남도,경남통영시,4822000000,2018,1486,0,2758,42
경상남도,경남사천시,4824000000,2018,720,0,2758,13
경상남도,경남김해시,4825000000,2018,5330,0,2758,230
경상남도,경남밀양시,4827000000,2018,636,0,2758,33
경상남도,경남거제시,4831000000,2018,2135,0,2758,67
경상남도,경남양산시,4833000000,2018,4084,0,2758,148
경상남도,경남의령군,4872000000,2018,73,0,2758,30
